Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0139424640536014,0.0129876081309735,0.00654203268749143,0,0,0,1.17456295297781,0.00223044069648703,-6.32626092012459E-05,2.94658978817516E-20,0.00817476268334436,-8.19168823828385E-20,0.00617609099246247,0,0,0,0,0,0,package://ddrive_navigation_impl/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ddrive_navigation_impl/meshes/base_link.STL,,chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,-1.38777878078145E-17,-6.93889390390723E-18,0.0323201178441002,0,0,0,0.0346791977367494,1.41585015301741E-05,-1.27054942088145E-21,5.35088438039888E-22,1.41585015301741E-05,2.90528349791999E-21,2.53540976405827E-05,0,0,0,0,0,0,package://ddrive_navigation_impl/meshes/left_wheel.STL,1,1,0,1,0,0,0,0,0,0,package://ddrive_navigation_impl/meshes/left_wheel.STL,,wheel-3,Origin_left_joint,Axis_left_joint,left_joint,continuous,-0.078206903468503,0.0534579673125085,0.0120971032828063,1.5707963267949,0.413063406587512,-3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
right_wheel,6.93889390390723E-18,1.38777878078145E-17,0.0323201178441002,0,0,0,0.0346791977367494,1.41585015301741E-05,2.11758236813575E-21,3.97111338233382E-22,1.41585015301741E-05,1.98976293614101E-22,2.53540976405827E-05,0,0,0,0,0,0,package://ddrive_navigation_impl/meshes/right_wheel.STL,1,1,0,1,0,0,0,0,0,0,package://ddrive_navigation_impl/meshes/right_wheel.STL,,wheel-1,Origin_right_joint,Axis_right_joint,right_joint,continuous,-0.0782069034685027,-0.0665420326874914,0.0120971032828061,1.5707963267949,1.19119482376332,0,base_link,0,0,1,,,,,,,,,,,,
